"<empty_1>","Word","Example","Class"
405,"asl","[lame] thing to say if your a [clueless newbie]. Stands for Age Sex Location.",2
406,"screwed","1. Very drunk. (see also [faded][pissed][rooted][comatose][paraletic][spastic])",2
407,"piss","1. [Alchamahol]. ;; 2. Urine. ;; 3. used to show comedy.",2
408,"pissed","1. What you are after drinking too much [piss]. ;; 2. Aggrivated.",2
409,"bloke","A real man (see [real men]).",2
410,"scat","1}n. animal feces...biological term ;; 2)n. the practice of eating feces...street term",2
411,"YAY!","1. An expression of joy usually accompanied by raising both arms in the air; the higher, the more joyful. ;; Can also be used sarcastically.",2
412,"YAY!","Used as a conversation place hoder. ie when you cant think of anything else to say. (usually with little or no emotion - to confirm that you were listening)",2
413,"clacker","Ass / anus.",2
414,"Telstra monkeys","Derrogatory: ;; They are monkies. They work for telstra. ;; Working on the same princaple as [Doglas Adams] [infinate number of monkies].",2
415,"pepper","1. A seasoning. ;; 2. What you have if you _VERY_ lucky on your meat.",2
416,"Dutch oven","1. Colloquially, a 'game' in which one person traps another under a doona after a pungent rectal emission in order to 'share' the odour. ;; 2. An oven located in the Netherlands. ;; 3. An oven made by a native of the Netherlands.",2
417,"Dutch football","A 'game' related to [Dutch oven] in which the people trapped under the doona trade pungent rectal emissions. ;; Origin: coined when I misheard the words 'touch football'",2
418,"MDMA","Phenethylamines>PsychedelicAmphetamines: ;; 3,4-methylenedioxy-N-methylamphetamine, C11H15NO2 (mol. wt. 193.24) ;; or [ecstasy] ;; A clubbers drug... Giving that [loved up] feeling.",2
419,"bah","1. Dismissive response ;; 2. Where to get drinks at 2am",2
420,"classic","Something of long lasting entertainment",2
421,"booya","A chant of success",2
422,"Alcamahol","The variation of alcohol in drunken, slurred speech.",2
423,"microcave","An endearing term for a microwave",2
424,"smoked","to be blown away in some sort of competition.",2
425,"bitchin","When something is really cool",2
426,"ripped","Term used when one is stoned, off their faces or off their tits",2
427,"Muffandankles","Hairy muff and huge ankles. ;; Derived from the meaning 'bush pig' - had to many beers and she will do.",2
428,"huge ass","Something of large magnitude",2
429,"loads","a lot of something",2
430,"gobs","Like [loads], but with an element of stickiness",2
431,"wail","Often used to describe the extremely aggressive punching action of one person against another during a fight",2
432,"HHGTTG","Hich Hikers Guide To The Galaxy - The Universal repository for all knowledge and wisdom. see [Douglas Adams].",2
433,"groovy","A feeling of joy or hapiness in discovering something new",2
434,"slick","an object or operation efficient or streamlined",2
435,"One Eyed Willy","Penis",2
436,"hinie","Bottom, Prosterior, Arse, Bootay",2
437,"bootay","Arse, Hinie, Bottom",2
438,"phuck","A less offensive form of the cuss-word [fuck], typically used without reference to coitus.",2
439,"mightymouse","1. small bread eating rodent ;; 2. Crime fighting irc nerd",2
440,"pepper","Opposite of fatty",2
441,"Knocked Up","Pregnant out of wedlock, Bearing a bastard child.",2
442,"IRC Chick","See [Knocked Up] and [Slut]",2
443,"shiznay","Good, Spectacular, Tops, Rockin'",2
444,"digestive","A light flakey delicious Chinese cracker",2
445,"the bomb","Something or someone that is really cool.",2
446,"the man","a person of highimport",2
447,"dime sack","An amount of green plant worth approximately $10",2
448,"The Dog","The art of showing some commitment and leading a girl on to get a bit more slap & tickle!!",2
449,"skanky","A dirty ho.",2
450,"loved up","Once described as having a crush on every person you see.",2
451,"Advanced Power Management (APM)","Punch card power management",2
452,"bersquillionpajillion","A lot. Well more than 4 anyhow. ;; (usuall semi-infantile)",2
453,"drongo","Idiot, halfwit, someone who has just [fucked] up.",2
454,"mate","1. A friend or companion. ;; 2. A sexual partner.",2
455,"heels","Carved from a single heaving mass of cellulite",2
456,"j/p","just playin'",2
457,"diu","FUCK",2
458,"lei","You",2
459,"Chow","Stinky",2
460,"pat pat","Butt",2
461,"moshi moshi","hello on the phone in Japanese",2
462,"Fay gay","airplane",2
463,"windows update","a waste of time",2
464,"full of it","Full of the perverbial shit",2
465,"booty","Another word for ass",2
466,"coolio","Synonym of [cool]. Implies knowledge of notable rapper by same name.",2
467,"Crapr","An old white Mercury Capri that will be in our hearts forever.",2
468,"super tow truck","A tow truck so big that the natural curve of the earth causes it to teeter",2
469,"crimp","The action of attaching a tip to the end of a cable. After the tip is attached you can plug the cable into the networking card. ;; the process must be executed with great care and style; poorly crimped ends can cause problems which are nightmarishly difficult to identify.",2
470,"super tow truck","A tow truck capable of towing other super tow trucks",2
471,"zerbert","creating a seal between a human mouth and flesh (commonly the stomach or arm) and then blowing, producing a fart-like sound.",2
472,"pikachu","fat-assed yellow wombat",2
473,"chimporchina","a delirious cry of happiness or frustration",2
474,"That's a good point","Not an admission, exactly, just an acknowledgement that someone's argument has validity.",2
475,"rogerthat","Term meaning rootable in the secret art of head nodding between males - confirm opinions ( see also WOULD YOU FUCK THAT?! ) for more info. ;; To give someone an absolute flogging.",2
476,"hoo hoos","BREASTS! from the Movie 'Dude wheres my car?'",2
477,"chancre","sores caused by syphilis (Sexually Transmitted Disease)...generally quite skanky...",2
478,"smegma","Buildup of skin and other crud found between the foreskin and penis",2
479,"spiffy","(adj) used to describe something as unique or amusing. Similar usage to cool.",2
480,"Mistake Daily","in printer terms, the worst job to be printing... in other words, corrupted files, jacked-up fonts, misplaced images, crappy photos, and past deadline-drops.",2
481,"stoked","Very, very excited.",2
482,"glass-plans","Plans you make without the intention of keeping (ie, they're breakable)",2
483,"strapped","Low on a particular resource.",2
484,"pussy","1. Another word for female genetalia ;; 2. A feline companion.",2
485,"bump uglies","A euphemism for [sex]. See your local human anatomy book for more detail.",2
486,"stoked","The activity of moving around the logs in the fireplace so that the fire continues to burn.",2
487,"sex","(n) Fun involving the exchange of bodily fluids.",2
488,"booty","Sexual companionship.",2
489,"backend","1. The part of a software product that the user does not interact with. ;; 2. See [booty].",2
490,"j/k","abbr. Just kidding.",2
491,"right on","intj. ;; 1. A positive response. ;; 2. 'Yeah, whatever.'",2
492,"courts","The art of spraeding one's wings and moaning with pleasure",2
493,"courts","A type of firming cream to apply to a male penis to keep it erect for hours",2
494,"all over it","Completely enthusiastic or expert about a particular topic. ;; Not to be confused with [over it]",2
495,"over it","Suggests that you've moved beyond a particular event - it doesn't bother you anymore. ;; Not to be confused with [all over it]",2
496,"tragic","horrible and devastating. ten times worse than bad, and far from [comic].",2
497,"making babies","Getting in on with an old hoe.",2
498,"smeg","Junk, such as [gaffa tape] and leads left all over the ground after roadies have set up for a band..",2
499,"tscrap","The shorter, faster way of saying 'It's crap.'",2
500,"no no","1. A condescending way to say 'no.' Use 'no no' when a simple 'no' will not suffice.",2
501,"green","Money",2
502,"good call","Used to agree with someone, specifically about something which shows the person's good taste in a surprising way.",2
503,"Tight","Really good friends with someone.",2
504,"map o' Tassie","1. Cartographical representation of the state of Tasmania in Australia. ;; 2. Colloquially, referring to the pubic region especially a woman's. Derived from the fact that Tasmania is basically triangular.",2
505,"smurf","The act of dying ones pubic hair blue and then bragging about it. ;; Also see [map o' Tassie]",2
506,"Yo!","Greeting.",2
507,"smurf","Little blue people from a cartoon series.",2
508,"smurf","A [DoS] attack.",2
509,"DoS","Denial of Service, a very [lame] way of making it so a computer cant access a specific resource. Usually connected to [IRC].",2
510,"phwoar","An exclamation uttered when a person encounters a near miss.",2
511,"IRC","Internet Relay Chat. Often referred to as MiRC by [lame] [newbie]s.",2
512,"clueless newbie","Someone who is new and thinks that they know much about a subject (when it is evident they know little). Usually associated with [IRC]/[asl].",2
513,"scat","South County Area Transit...The bus system in Southern San Luis Obispo county California",2
514,"selecta","Person with musical style",2
515,"spraff","to chatter inanely",2
516,"lusers","People who haven't a clue and use computers",2
517,"flip the skins","to have sexual intercourse",2
518,"inout","[Sex]. From the movie 'A Clockwork Orange'",2
519,"grouse","A term to describe that something/someone is Teriffic, Good, Great!, It [r0x].",2
520,"r0x","1. Something good. (From rocks) ;; 2. The things inside [lame] ppls heads.",2
521,"blows","",2
522,"Yo!","Affirmative.",2
523,"Alchamahol","1. A drunk person saying alchohol. ;; 2. A silly person saying alchohol.",2
524,"bush pig","1. An ugly person. ;; 2. A ferral pig.",2
525,"slizzy","vulgar. another word for a girl who's a slut.",2
526,"snog","To kiss with an open mouth. [French kiss]. [Toungie].",2
527,"nice shoes! Wanna fuck?","A sophisticated and stylish way to let someone know that you fancy them.",2
528,"my ass","Spoken in a moment of extreme disbelief! Tag this onto the end of a sentence that describes the doubtful scenario.",2
529,"scat","Unintelligible verbal utterances placed in time to music.",2
